file,Speed,AttackDamage,AttackCooldown,MaxHealth,AiDescription
Enemy_B1_fat,,15,,200,蓝色机器人，普通敌人，似乎错误的把我们识别为非法入侵对象，行动迟缓，使用投机抓取客户
Enemy_B1_thin,400.0,25.0,,750,猫娘安保队长，精英敌人，似乎错误的把我们识别为非法入侵对象，行动敏捷，使用棍棒和踢击攻击客户，会召唤其他安保机器人
Enemy_B2_fat02,,15,,180,红色机器人，普通敌人，似乎错误的把我们识别为非法入侵对象，使用大范围阵地攻击眩晕客户
Enemy_C1_waiterA,,10.0,,100,蓝色机器女仆，普通敌人，似乎已经失控，远距离朝顾客投掷茶壶，会向其他酒店员工提供茶水服务，建议优先击破
Enemy_C1_waiterB,600.0,30.0,,1000,仿生兔女郎，精英敌人，似乎是失控的表演型号，使用应援棒和表演用激光浮游炮攻击观众
Enemy_C2_waiterA02,,,,120,黄色机器女仆，普通敌人，似乎已经失控，会四处乱甩整理好的碟子，会向其他酒店员工提供茶水服务，建议优先击破
Enemy_D1_corpDoneA,,10,,150,办公室复制人，普通敌人，长的几乎一个样，似乎已经精神错乱，坐在办公椅上攻击闯入办公室的客户，会使用各种数据信息流攻击和围困客户
Enemy_D1_corpDoneB,,,,150,办公室复制人，普通敌人，长的几乎一个样，似乎已经精神错乱，攻击闯入办公室的客户，会使用各种数据信息流攻击和围困客户
Enemy_D1_drone,400,0,,80,无人机，普通敌人，由网络管理员召唤，会朝客户喷吐垃圾信息，被破坏后露出核心，注意需要使用核心才能让网络管理员冷静下来
Enemy_D1_netAdmin,350,40,,1250,网络管理员仿生人，精英敌人，召唤无人机追杀客户，注意常态无法攻击到，只有使用无人机核心才能使其受到伤害
Enemy_D1_printerMachine,400,0,,100,安保无人机，普通敌人，似乎错误的把我们识别为非法入侵对象，伪装成打印机的样子，当客户接近时暴露伪装从打印机转变成无人机模式，使用高射炮和高速飞行的A4纸攻击客户
Enemy_Normal_guard1,350,10,,180,酒店复制人，普通敌人，处理酒店的杂物，接收了错误的指令，使用拳套攻击客户，会使用蓄力拳击飞客户
Enemy_Normal_guard2,350,10,,150,酒店复制人，普通敌人，处理酒店的杂物，接收了错误的指令，使用警棍攻击客户，会胡乱挥舞警棍攻击周围的目标
Enemy_Normal_guard3,,0,,120,酒店复制人，普通敌人，处理酒店的杂物，接收了错误的指令，使用手枪攻击客户，会朝客户投掷炸弹，建议优先击破
main_character,500.0,10.0,,150,玩家，受博士委托前来调查失控酒店AI的搭档、伙伴
P2,,,,,
