卡牌名称,卡牌ID,卡牌稀有度,构筑职业ID,构筑流派分类,效果,思路
战斗升温,BuildMachine_A_001,Common,machine,热量累积强化,允许通过攻击命中获取热量，每次命中获取3%/4%/5%热量,
扩容核心,BuildMachine_A_002,Common,machine,热量累积强化,热量上限 提升30%/40%/50%,
减容核心,BuildMachine_A_003,Common,machine,热量累积强化,热量上限 降低30%/40%/50%,
降温延迟,BuildMachine_A_004,Common,machine,热量累积强化,延长热量自动衰减的延迟时间50% /75% /100%,
惯性驱动,BuildMachine_A_005,Common,machine,热量累积强化,连续移动方向不变时热量获取速度递增50%/75%/100%，改变方向后重置,
热量回收,BuildMachine_A_006,Rare,machine,热量累积强化,未发动核心技能时，若热量低于15%/30%，则以每秒15%/30%的速度自动恢复到15%/30%,
高速导热,BuildMachine_A_007,Rare,machine,热量累积强化,所有的热量积累速度提升75%/100%，热量上限降低30%/50%，且非发动核心技能时的热量衰减速度提高75%/100%,
灼热反馈,BuildMachine_A_008,Rare,machine,热量累积强化,热量若突破当前的100%/90%，则每次攻击时造成灼烧，持续3秒且重复施加后覆盖伤害和持续时间（灼烧：根据玩家的基础攻击力等比造成伤害）,
热流循环,BuildMachine_A_009,Epic,machine,热量累积强化,发动核心技能时允许获取热量，获取热量的倍率为100%,
异常超频,BuildMachine_A_010,Epic,machine,热量累积强化,允许热量的获取突破100%，且每突破1点热量，移动速度、攻击速度、受到的伤害提升2%,
快速放热,BuildMachine_B_001,Common,machine,热量释放强化,加快释放核心技能造成的热量衰减速度50%/75%/100%,
缓速放热,BuildMachine_B_002,Common,machine,热量释放强化,减慢释放核心技能造成的热量衰减速度50%/75%/100%,
死亡余温,BuildMachine_B_003,Common,machine,热量释放强化,释放核心技能后的buff期间，场上每有一名敌人死亡，都会使释放核心技能造成的热量衰减速度将为0，持续1s/2s/3s,
热流冲击,BuildMachine_B_004,Common,machine,热量释放强化,释放核心技能后的buff期间，奔跑和闪避状态每秒都会对接触到的所有对象造成伤害20/30/40,
爆发推力,BuildMachine_B_005,Common,machine,热量释放强化,释放核心技能后的第一次攻击造成50px/100px/150px的击退，伤害提升10%/20%/30%,
热能抽离,BuildMachine_B_006,Rare,machine,热量释放强化,当热量达到100%及以上时释放核心技能后在玩家位置生成一个持续扩散的火焰环，对最大300px/500px范围的敌人造成灼烧，灼烧持续3秒且重复施加后覆盖伤害和持续时间（灼烧：根据玩家的基础攻击力等比造成伤害）,
燃烧效率,BuildMachine_B_007,Rare,machine,热量释放强化,"释放核心技能后的攻击力加成提升50%/100%，但在buff期间持续衰减,，最低衰减到50%/100%",
热能闪避,BuildMachine_B_008,Rare,machine,热量释放强化,释放核心技能后的buff期间，闪避不再消耗CD，而是消耗热量20/10,
齿轮关节,BuildMachine_B_009,Epic,machine,热量释放强化,释放核心技能后的buff期间受到攻击也不会被击退或打断攻击动作,
延迟损伤,BuildMachine_B_010,Epic,machine,热量释放强化,释放核心技能后的buff期间受到的所有伤害都会在buff结束时结算,
